# columns:
# cstat, diff, n_index, index, n_norm, norm 
 546.01 5.7418 41 1.8190 8 0.00096400
 546.54 6.2715 42 1.8280 8 0.00096400
 547.09 6.8268 43 1.8370 8 0.00096400
 547.67 7.4075 44 1.8460 8 0.00096400
 548.28 8.0134 45 1.8550 8 0.00096400
 548.91 8.6445 46 1.8640 8 0.00096400
 549.56 9.3004 47 1.8730 8 0.00096400
 550.24 9.9811 48 1.8820 8 0.00096400
 550.95 10.686 49 1.8910 8 0.00096400
 551.68 11.416 50 1.9000 8 0.00096400
 551.13 10.869 50 1.9000 9 0.00097200
 550.41 10.147 49 1.8910 9 0.00097200
 549.71 9.4500 48 1.8820 9 0.00097200
 549.04 8.7778 47 1.8730 9 0.00097200
 548.39 8.1306 46 1.8640 9 0.00097200
 547.77 7.5085 45 1.8550 9 0.00097200
 547.18 6.9117 44 1.8460 9 0.00097200
 546.60 6.3404 43 1.8370 9 0.00097200
 546.06 5.7947 42 1.8280 9 0.00097200
 545.54 5.2748 41 1.8190 9 0.00097200
 545.04 4.7812 40 1.8100 9 0.00097200
 544.58 4.3143 39 1.8010 9 0.00097200
 544.14 3.8745 38 1.7920 9 0.00097200
 543.73 3.4619 37 1.7830 9 0.00097200
 543.34 3.0768 36 1.7740 9 0.00097200
 542.98 2.7193 35 1.7650 9 0.00097200
 542.65 2.3897 34 1.7560 9 0.00097200
 542.35 2.0881 33 1.7470 9 0.00097200
 542.08 1.8148 32 1.7380 9 0.00097200
 541.83 1.5701 31 1.7290 9 0.00097200
 541.62 1.3541 30 1.7200 9 0.00097200
 541.43 1.1672 29 1.7110 9 0.00097200
 541.27 1.0094 28 1.7020 9 0.00097200
 541.14 0.88114 27 1.6930 9 0.00097200
 541.05 0.78259 26 1.6840 9 0.00097200
 540.98 0.71401 25 1.6750 9 0.00097200
 540.94 0.67566 24 1.6660 9 0.00097200
 540.93 0.66779 23 1.6570 9 0.00097200
 540.95 0.69068 22 1.6480 9 0.00097200
 541.01 0.74458 21 1.6390 9 0.00097200
 541.09 0.82977 20 1.6300 9 0.00097200
 541.21 0.94652 19 1.6210 9 0.00097200
 541.36 1.0951 18 1.6120 9 0.00097200
 541.54 1.2758 17 1.6030 9 0.00097200
 541.75 1.4890 16 1.5940 9 0.00097200
 542.00 1.7349 15 1.5850 9 0.00097200
 542.28 2.0137 14 1.5760 9 0.00097200
 542.59 2.3259 13 1.5670 9 0.00097200
 542.94 2.6718 12 1.5580 9 0.00097200
 543.32 3.0515 11 1.5490 9 0.00097200
 543.73 3.4656 10 1.5400 9 0.00097200
 544.18 3.9142 9 1.5310 9 0.00097200
 544.66 4.3977 8 1.5220 9 0.00097200
 545.18 4.9165 7 1.5130 9 0.00097200
 545.73 5.4709 6 1.5040 9 0.00097200
 546.32 6.0612 5 1.4950 9 0.00097200
 546.95 6.6877 4 1.4860 9 0.00097200
 547.61 7.3509 3 1.4770 9 0.00097200
 548.31 8.0512 2 1.4680 9 0.00097200
 549.05 8.7887 1 1.4590 9 0.00097200
 549.83 9.5640 0 1.4500 9 0.00097200
 550.04 9.7776 0 1.4500 10 0.00098000
 549.24 8.9811 1 1.4590 10 0.00098000
 548.49 8.2226 2 1.4680 10 0.00098000
 547.77 7.5018 3 1.4770 10 0.00098000
 547.08 6.8183 4 1.4860 10 0.00098000
 546.44 6.1717 5 1.4950 10 0.00098000
 545.83 5.5618 6 1.5040 10 0.00098000
 545.25 4.9881 7 1.5130 10 0.00098000
 544.71 4.4503 8 1.5220 10 0.00098000
 544.21 3.9480 9 1.5310 10 0.00098000
 543.74 3.4809 10 1.5400 10 0.00098000
 543.31 3.0488 11 1.5490 10 0.00098000
 542.91 2.6511 12 1.5580 10 0.00098000
 542.55 2.2878 13 1.5670 10 0.00098000
 542.22 1.9583 14 1.5760 10 0.00098000
 541.93 1.6624 15 1.5850 10 0.00098000
 541.66 1.3999 16 1.5940 10 0.00098000
 541.43 1.1703 17 1.6030 10 0.00098000
 541.24 0.97342 18 1.6120 10 0.00098000
 541.07 0.80895 19 1.6210 10 0.00098000
 540.94 0.67661 20 1.6300 10 0.00098000
 540.84 0.57610 21 1.6390 10 0.00098000
 540.77 0.50715 22 1.6480 10 0.00098000
 540.73 0.46948 23 1.6570 10 0.00098000
 540.73 0.46283 24 1.6660 10 0.00098000
 540.75 0.48692 25 1.6750 10 0.00098000
 540.81 0.54150 26 1.6840 10 0.00098000
 540.89 0.62632 27 1.6930 10 0.00098000
 541.00 0.74110 28 1.7020 10 0.00098000
 541.15 0.88562 29 1.7110 10 0.00098000
 541.32 1.0596 30 1.7200 10 0.00098000
 541.53 1.2629 31 1.7290 10 0.00098000
 541.76 1.4951 32 1.7380 10 0.00098000
 542.02 1.7561 33 1.7470 10 0.00098000
 542.31 2.0457 34 1.7560 10 0.00098000
 542.63 2.3636 35 1.7650 10 0.00098000
 542.97 2.7096 36 1.7740 10 0.00098000
 543.35 3.0835 37 1.7830 10 0.00098000
 543.75 3.4850 38 1.7920 10 0.00098000
 544.18 3.9140 39 1.8010 10 0.00098000
 544.63 4.3703 40 1.8100 10 0.00098000
 545.12 4.8536 41 1.8190 10 0.00098000
 545.63 5.3636 42 1.8280 10 0.00098000
 546.16 5.8997 43 1.8370 10 0.00098000
 546.73 6.4617 44 1.8460 10 0.00098000
 547.31 7.0494 45 1.8550 10 0.00098000
